"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies","observation","study","yi","vi","backtrans","phylo","species_char","family"
"1828",2111,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,24,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2009","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1337","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.100678960395165,0.0102040816326531,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1829",2112,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,34,0,0,"Coleura afra","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2010","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Coleura afra","Coleura afra","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1338","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0849231440418368,0.0072463768115942,0,"Coleura afra","Coleura afra","EMBALLONURIDAE"
"1830",2113,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,7,0,0,"Miniopterus inflatus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2010","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Miniopterus inflatus","Miniopterus inflatus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1339","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.180683561953354,0.0333333333333333,0,"Miniopterus inflatus","Miniopterus inflatus","VESPERTILIONIDAE"
"1831",2114,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,50,0,0,"Coleura afra","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"guano","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Coleura afra","Coleura afra","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1340","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0702448508767602,0.00495049504950495,0,"Coleura afra","Coleura afra","EMBALLONURIDAE"
"1832",2115,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,25,0,0,"Hipposideros cf. ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"guano","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1341","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0986977799249404,0.00980392156862745,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"1833",2116,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,25,0,0,"Hipposideros gigas","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"guano","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros gigas","Hipposideros gigas","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1342","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0986977799249404,0.00980392156862745,0,"Hipposideros gigas","Hipposideros gigas","HIPPOSIDERIDAE"
"1834",2117,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,50,0,0,"Miniopterus inflatus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"guano","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2011","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Miniopterus inflatus","Miniopterus inflatus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1343","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.0702448508767602,0.00495049504950495,0,"Miniopterus inflatus","Miniopterus inflatus","VESPERTILIONIDAE"
"1835",2118,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,18,0,0,"Coleura afra","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Coleura afra","Coleura afra","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1344","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.115738681985089,0.0135135135135135,0,"Coleura afra","Coleura afra","EMBALLONURIDAE"
"1836",2119,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,16,0,0,"Hipposideros cf. ruber","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Hipposideros ruber","Hipposideros ruber","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1345","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.122489331563432,0.0151515151515152,0,"Hipposideros ruber","Hipposideros ruber","HIPPOSIDERIDAE"
"1837",2120,"genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","Maganga et al.","Scientific Reports",2020,11,0,0,"Miniopterus inflatus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"intestines","Gabon","N","Ogooue-Ivindo","Faucon Cave","13°20 E","1°07N","2013","","",NA,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","intestine","1","1","1","1",1.11666666666667,13.3333333333333,"Yes, for this study","Yes","PCR","genus not specified",1,"Miniopterus inflatus","Miniopterus inflatus","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon","1346","genetic diversity and ecology of coronaviruses hosted by cave-dwelling bats in gabon",0.146421385864288,0.0217391304347826,0,"Miniopterus inflatus","Miniopterus inflatus","VESPERTILIONIDAE"
"1838",2121,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,26,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Shaanxi","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1347","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.0968291502221633,0.00943396226415094,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1839",2122,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,26,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Shaanxi","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1348","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.0968291502221633,0.00943396226415094,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1842",2125,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,30,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Anhui","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1349","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.0902926070953491,0.00819672131147541,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1846",2129,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,8,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Zhejiang","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1350","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.169918454727061,0.0294117647058824,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1847",2130,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,8,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Zhejiang","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1351","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.169918454727061,0.0294117647058824,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1848",2131,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,18,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Jiangxi","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1352","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.115738681985089,0.0135135135135135,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1851",2134,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,26,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Fujian","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1353","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.0968291502221633,0.00943396226415094,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1852",2135,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,8,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Yunnan","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1354","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.169918454727061,0.0294117647058824,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1853",2136,"genetic diversity of coronaviruses in miniopterus fuliginosus bats","Du et al.","Sci China Life Sci",2016,8,0,0,"Miniopterus fuliginosus","alphacoronavirus or betacoronavirus","","","","","pooled","longitudinal","RNA","RT-PCR","single","RdRp",NA,"pharyngeal/anal swab","China","N","Yunnan","","NA","NA","","2011","",2013,"","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:30pm","pooled swabs/samples","1","1","1","1",NA,NA,"No","No","PCR","genus not specified",1,"Miniopterus fuliginosus","Miniopterus fuliginosus","genetic diversity of coronaviruses in miniopterus fuliginosus bats","1355","genetic diversity of coronaviruses in miniopterus fuliginosus bats",0.169918454727061,0.0294117647058824,0,"Miniopterus fuliginosus","Miniopterus fuliginosus","VESPERTILIONIDAE"
"1866",2149,"detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia","Anindita et al.","Arch Virol",2015,18,0,0,"Acerodon celebensis","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Indonesia","S","Gorontalo","Paguyaman","NA","NA","2012","","",NA,"","","Year",NA,"No","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Acerodon celebensis","Acerodon celebensis","detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia","1356","detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia",0.115738681985089,0.0135135135135135,0,"Acerodon celebensis","Acerodon celebensis","PTEROPODIDAE"
"1868",2151,"detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia","Anindita et al.","Arch Virol",2015,3,0,0,"Pteropus vampyrus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","nested RT-PCR","multiple","RdRp",NA,"faeces","Indonesia","S","East Java","Surabaya","NA","NA","2012","","",NA,"","","Year",NA,"No","","","","VERENA Admin","4/12/2022 2:30pm","faecal, rectal, or anal","1","1","1","1",NA,NA,"Yes, for this study","Yes","PCR","genus not specified",1,"Pteropus vampyrus","Pteropus vampyrus","detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia","1357","detection of coronavirus genomes in moluccan naked-backed fruit bats in indonesia",0.261799387799149,0.0714285714285714,0,"Pteropus vampyrus","Pteropus vampyrus","PTEROPODIDAE"
