"","UniqueID","title","author..from.Imported.table.2.","journal..from.Imported.table.2.","year..from.Imported.table.2.","sample","positives","prevalence","bat_species","virus_genus","virus_genus_notes","virus_subgenus","virus_species","virus_strain","detection_type","study_type","detection_method","method_specific","single.multiple.PCR.method","gene_targets","Terminal.sampling.","tissue","country","country_hemisphere","state","site","longitude","latitude","sample_year","start_year","start_month","end_year","end_month","sample_season","sample_season_simplified","X..Sampling.Trips","Sex.Info.","Habitat.Disturbance.Info.","Coinfection.Info.","Flag","Entered.by","Last.modified","tissue_simplified","sample_simplified","summer","fall","winter","spring","latidudedecimal","longitudedecimal","gene_targets_simplified","euthanasia","euthanasia_simplified","method_specific_simplified","virus_genus_simplified","spec","species_for_reader","species","studies"
"2088",2402,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,2,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"faeces","South Korea","N","Gyeongbuk","Forest (Andong 2)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2089",2403,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,2,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","South Korea","N","Gyeongbuk","Forest (Andong 2)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","urinary","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2090",2404,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,2,0,0,"Myotis macrodactylus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Gyeongbuk","Abandoned mine (Yeongdeok 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis macrodactylus","Myotis macrodactylus","genetic characteristics of coronaviruses from korean bats in 2016"
"2091",2405,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,3,0,0,"Myotis macrodactylus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"Carcass","South Korea","N","Gyeongbuk","Abandoned mine (Yeongdeok 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","pooled tissue","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis macrodactylus","Myotis macrodactylus","genetic characteristics of coronaviruses from korean bats in 2016"
"2092",2407,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,23,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Gyeongbuk","Abandoned mine (Yeongju 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","genetic characteristics of coronaviruses from korean bats in 2016"
"2093",2408,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,6,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"faeces","South Korea","N","Gyeongbuk","Abandoned mine (Yeongju 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","genetic characteristics of coronaviruses from korean bats in 2016"
"2094",2409,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,1,0,0,"Myotis nattereri","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"Carcass","South Korea","N","Gyeongbuk","Abandoned mine (Yeongju 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","pooled tissue","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis nattereri","Myotis nattereri","genetic characteristics of coronaviruses from korean bats in 2016"
"2095",2411,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,12,0,0,"Miniopterus schreibersii","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"Carcass","South Korea","N","Gyeongbuk","Abandoned mine (Yeongcheon 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","pooled tissue","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Miniopterus schreibersii","Miniopterus schreibersii","genetic characteristics of coronaviruses from korean bats in 2016"
"2096",2412,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,4,0,0,"Myotis petax","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Gyeongbuk","Forest, valley (Cheongsong 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis petax","Myotis petax","genetic characteristics of coronaviruses from korean bats in 2016"
"2097",2413,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,1,0,0,"Myotis petax","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"faeces","South Korea","N","Gyeongbuk","Forest, valley (Cheongsong 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis petax","Myotis petax","genetic characteristics of coronaviruses from korean bats in 2016"
"2098",2414,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,11,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Gwangju","Forest (Shinchon GwJ 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2099",2416,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,1,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","South Korea","N","Gwangju","Forest (Shinchon GwJ 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","urinary","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2100",2417,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,5,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Gwangju","Cave (Seokgok GwJ 2)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","genetic characteristics of coronaviruses from korean bats in 2016"
"2101",2418,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,5,0,0,"Pipistrelus abramus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"faeces","South Korea","N","Daegu","Forest, stream (Dalseong 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Pipistrellus abramus","Pipistrellus abramus","genetic characteristics of coronaviruses from korean bats in 2016"
"2102",2419,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,12,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Ulsan","Abandoned mine (Ulju US 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","genetic characteristics of coronaviruses from korean bats in 2016"
"2103",2420,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,2,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"Carcass","South Korea","N","Ulsan","Abandoned mine (Ulju US 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","pooled tissue","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","genetic characteristics of coronaviruses from korean bats in 2016"
"2104",2421,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,8,0,0,"Rhinolophus ferrumequinum","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"urine","South Korea","N","Ulsan","Abandoned mine (Ulju US 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","urinary","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Rhinolophus ferrumequinum","Rhinolophus ferrumequinum","genetic characteristics of coronaviruses from korean bats in 2016"
"2105",2422,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,1,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Ulsan","In area of private houses (US 2)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2106",2423,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,1,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"faeces","South Korea","N","Ulsan","In area of private houses (US 2)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2107",2424,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,31,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Ulsan","Forest (US 2)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2108",2425,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,31,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"faeces","South Korea","N","Ulsan","Forest (US 2)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","faecal, rectal, or anal","faeces","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2109",2426,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,9,0,0,"Myotis aurascens","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Ulsan","Forest (US 3)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis aurascens","Myotis aurascens","genetic characteristics of coronaviruses from korean bats in 2016"
"2110",2427,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,12,0,0,"Eptesicus serotinus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Jeonnam","Forest (Gurye 1)","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Eptesicus serotinus","Eptesicus serotinus","genetic characteristics of coronaviruses from korean bats in 2016"
"2111",2428,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,7,0,0,"Myotis macrodactylus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"oral swab","South Korea","N","Jeonnam","Abandoned mine (Muan 1) ","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","oropharyngeal","swab","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis macrodactylus","Myotis macrodactylus","genetic characteristics of coronaviruses from korean bats in 2016"
"2112",2429,"genetic characteristics of coronaviruses from korean bats in 2016","Lee et al.","Microb Ecol",2017,1,0,0,"Myotis macrodactylus","alphacoronavirus or betacoronavirus","","","","","single","cross-sectional","RNA","PCR","single","RdRp",NA,"Carcass","South Korea","N","Jeonnam","Abandoned mine (Muan 1) ","NA","NA","","2016","January",2016,"September","","Year",NA,"","","","","VERENA Admin","4/12/2022 2:35pm","pooled tissue","tissue","1","1","1","1",NA,NA,"RdRp","No","No","PCR","genus not specified",1,"Myotis macrodactylus","Myotis macrodactylus","genetic characteristics of coronaviruses from korean bats in 2016"
