"","title","author","journal","year","doi","ID","study","source","exclude_title","exclude_reason","include","entered"
"3:189","the role of bats as reservoir hosts of emerging neuroviruses","Mackenzie et al.","",2016,"",931,"Mackenzie et al. 2016 ","CAB","","","",""
"2:374","the sars-like coronaviruses: the role of bats and evolutionary relationships with sars coronavirus","Balboni et al.","New Microbiol",2012,"",932,"Balboni et al. 2012 New Microbiol","PubMed","","","",""
"1:399","the spanish american war's most durable hero': admiral pasquale cervera and popular heroic values in the united states, 1898-1909","Bogle","War & Society",2017,"10.1080/07292473.2017.1326582",933,"Bogle 2017 War & Society","WOS","","","",""
"2:9","the species severe acute respiratory syndrome-related coronavirus: classifying 2019-ncov and naming it sars-cov-2","Coronaviridae","Nat Microbiol",2020,"10.1038/s41564-020-0695-z",934,"Coronaviridae 2020 Nat Microbiol","PubMed","","","",""
"1:319","the story behind covid-19: animal diseases at the crossroads of wildlife, livestock and human health","De sadeleer & Godfroid","European Journal of Risk Regulation",2020,"10.1017/err.2020.45",935,"De sadeleer & Godfroid 2020 European Journal of Risk Regulation","WOS","","","",""
"1:292","the survival of captive bred chukar alectoris chukar cypriotes, released for restocking in cyprus","Hadjisterkotis","Zeitschrift Fur Jagdwissenschaft",1999,"10.1007/BF02241539",936,"Hadjisterkotis 1999 Zeitschrift Fur Jagdwissenschaft","WOS","","","",""
"2:270","the world goes bats: living longer and tolerating viruses","Gorbunova et al.","Cell Metab",2020,"10.1016/j.cmet.2020.06.013",937,"Gorbunova et al. 2020 Cell Metab","PubMed","","","",""
"1:125","thermal biology, torpor use and activity patterns of a small diurnal marsupial from a tropical desert: sexual differences","Koertner et al.","Journal of Comparative Physiology B-biochemical Systems and Environmental Physiology",2010,"10.1007/s00360-010-0459-9",938,"Koertner et al. 2010 Journal of Comparative Physiology B-biochemical Systems and Environmental Physiology","WOS","","","",""
"3:221","this could be the start of something big - 20 years since the identification of bats as the natural host of hendra virus","Black et al.","One Health",2015,"10.1016/j.onehlt.2015.07.001",939,"Black et al. 2015 One Health","CAB","","","",""
"3:338","ticks (ixodida)","Bates","",2012,"10.1079/9781845936648.0049",940,"Bates 2012 ","CAB","","","",""
"2:189","tissue distribution of the mers-coronavirus receptor in bats","Widagdo et al.","Sci Rep",2017,"10.1038/s41598-017-01290-6",941,"Widagdo et al. 2017 Sci Rep","PubMed","","","",""
"2:118","tools to study pathogen-host interactions in bats","Banerjee et al.","Virus Res",2018,"10.1016/j.virusres.2018.02.013",942,"Banerjee et al. 2018 Virus Res","PubMed","","","",""
"3:245","toxocara and its species","Ziegler & Macpherson","CAB Reviews",2019,"10.1079/PAVSNNR201914053",943,"Ziegler & Macpherson 2019 CAB Reviews","CAB","","","",""
"1:227","traceability the provenience of cultivated paris polyphylla smith var. yunnanensis using atr-ftir spectroscopy combined with chemometrics","Wu et al.","Spectrochimica Acta Part A-molecular and Biomolecular Spectroscopy",2019,"10.1016/j.saa.2019.01.008",944,"Wu et al. 2019 Spectrochimica Acta Part A-molecular and Biomolecular Spectroscopy","WOS","","","",""
"1:383","tracing ancient animal husbandry in tropical africa using the fossil spore assemblages of coprophilous fungi: a validation study in western uganda","Goethals & Verschuren","Vegetation History and Archaeobotany",2020,"10.1007/s00334-019-00760-3",945,"Goethals & Verschuren 2020 Vegetation History and Archaeobotany","WOS","","","",""
"1:284","transcriptome analysis of comb and testis from rose-comb silky chicken (r1/r1) and beijing fatty wild type chicken (r/r)","Wang et al.","Poultry Science",2017,"10.3382/ps/pew447",946,"Wang et al. 2017 Poultry Science","WOS","","","",""
"2:432","transcriptome profiling of the virus-induced innate immune response in pteropus vampyrus and its attenuation by nipah virus interferon antagonist functions","Glennon et al.","J Virol",2015,"10.1128/JVI.00302-15",947,"Glennon et al. 2015 J Virol","PubMed","","","",""
"3:328","transmission electron microscopy of the scolex and neck microtriches of silurotaenia siluri (batsch, 1786) (cestoda: proteocephalidea)","Zd'árská & Nebesárová","Parasitology Research",2005,"10.1007/s00436-005-1389-4",948,"Zd'árská & Nebesárová 2005 Parasitology Research","CAB","","","",""
"3:274","transmission of pathogenic microorganisms by vampire bats","Constantine","",1988,"",949,"Constantine 1988 ","CAB","","","",""
"1:347","tree roosts of northern long-eared bats following white-nose syndrome","Thalken & Lacki","Journal of Wildlife Management",2018,"10.1002/jwmg.21411",950,"Thalken & Lacki 2018 Journal of Wildlife Management","WOS","","","",""
"2:156","trypsin treatment unlocks barrier for zoonotic bat coronavirus infection","Menachery et al.","J Virol",2020,"10.1128/JVI.01774-19",951,"Menachery et al. 2020 J Virol","PubMed","","","",""
"1:32","tungsten-induced denaturation and aggregation of epoetin alfa during primary packaging as a cause of immunogenicity","Seidl et al.","Pharmaceutical Research",2012,"10.1007/s11095-011-0621-4",952,"Seidl et al. 2012 Pharmaceutical Research","WOS","","","",""
"2:89","two mutations were critical for bat-to-human transmission of middle east respiratory syndrome coronavirus","Yang et al.","J Virol",2015,"10.1128/JVI.01279-15",953,"Yang et al. 2015 J Virol","PubMed","","","",""
"1:392","uav coverage using hexagonal tessellation","Kadioglu et al.","2019 27th Mediterranean Conference On Control and Automation (med)",2019,"",954,"Kadioglu et al. 2019 2019 27th Mediterranean Conference On Control and Automation (med)","WOS","","","",""
"3:353","ultrastructure of the chorion of machimus rusticus (meigen, 1820) (diptera, asilidae)","Suludere et al.","Journal of the Entomological Research Society",2000,"",955,"Suludere et al. 2000 Journal of the Entomological Research Society","CAB","","","",""
"2:98","understanding bat sars-like coronaviruses for the preparation of future coronavirus outbreaks - implications for coronavirus vaccine development","Ng & Tan","Hum Vaccin Immunother",2017,"10.1080/21645515.2016.1228500",956,"Ng & Tan 2017 Hum Vaccin Immunother","PubMed","","","",""
"1:337","understanding ebola virus and other zoonotic transmission risks through human-bat contacts: exploratory study on knowledge, attitudes and practices in southern cameroon","Baudel et al.","Zoonoses and Public Health",2019,"10.1111/zph.12563",957,"Baudel et al. 2019 Zoonoses and Public Health","WOS","","","",""
"3:150","understanding mers-cov at the animal-human interface, technical meeting 21-22 january 2016, rome, italy","Food and Agriculture Organization of the United Nations","",2016,"",958,"Food and Agriculture Organization of the United Nations 2016 ","CAB","","","",""
"2:406","understanding of covid-19 based on current evidence","Sun et al.","J Med Virol",2020,"10.1002/jmv.25722",959,"Sun et al. 2020 J Med Virol","PubMed","","","",""
"1:178","uneven recombination rate and linkage disequilibrium across a reference snp map for common bean (phaseolus vulgaris l.)","Blair et al.","Plos One",2018,"10.1371/journal.pone.0189597",960,"Blair et al. 2018 Plos One","WOS","","","",""
"1:342","union's inspiration: universal health care and the essential partiality of solidarity","Derpmann","Bioethics",2018,"10.1111/bioe.12444",961,"Derpmann 2018 Bioethics","WOS","","","",""
"2:249","unlocking bat immunology: establishment of pteropus alecto bone marrow-derived dendritic cells and macrophages","Zhou et al.","Sci Rep",2016,"10.1038/srep38597",962,"Zhou et al. 2016 Sci Rep","PubMed","","","",""
"1:382","unravelling virus community ecology in bats through the integration of metagenomics and community ecology","Wille","Molecular Ecology",2020,"10.1111/mec.15306",963,"Wille 2020 Molecular Ecology","WOS","","","",""
"2:259","unveiling the origin and transmission of 2019-ncov","Xu","Trends Microbiol",2020,"10.1016/j.tim.2020.02.001",964,"Xu 2020 Trends Microbiol","PubMed","","","",""
"1:59","us army land condition-trend analysis (lcta) program","Diersing et al.","Environmental Management",1992,"10.1007/BF02400080",965,"Diersing et al. 1992 Environmental Management","WOS","","","",""
"1:101","use of dna barcoding to reveal species composition of convenience seafood","Huxley-jones et al.","Conservation Biology",2012,"10.1111/j.1523-1739.2011.01813.x",966,"Huxley-jones et al. 2012 Conservation Biology","WOS","","","",""
"1:104","use of market data to assess bushmeat hunting sustainability in equatorial guinea","Allebone-webb et al.","Conservation Biology",2011,"10.1111/j.1523-1739.2011.01681.x",967,"Allebone-webb et al. 2011 Conservation Biology","WOS","","","",""
"1:140","use of wildlife water developments by birds in southwest arizona during migration","Lynn et al.","Wildlife Society Bulletin",2006,"10.2193/0091-7648(2006)34[592:UOWWDB]2.0.CO;2",968,"Lynn et al. 2006 Wildlife Society Bulletin","WOS","","","",""
"1:97","using echolocation monitoring to model bat occupancy and inform mitigations at wind energy facilities","Weller & Baldwin","Journal of Wildlife Management",2012,"10.1002/jwmg.260",969,"Weller & Baldwin 2012 Journal of Wildlife Management","WOS","","","",""
"1:34","using multi-scale modelling to predict habitat suitability for species of conservation concern: the grey long-eared bat as a case study","Razgour et al.","Biological Conservation",2011,"10.1016/j.biocon.2011.08.010",970,"Razgour et al. 2011 Biological Conservation","WOS","","","",""
"1:75","using occupancy estimation to assess the effectiveness of a regional multiple-species conservation plan: bats in the pacific northwest","Weller","Biological Conservation",2008,"10.1016/j.biocon.2008.06.018",971,"Weller 2008 Biological Conservation","WOS","","","",""
"1:263","using site-occupancy models to prepare for the spread of chytridiomyosis and identify factors affecting detectability of a cryptic susceptible species, the tasmanian tree frog","Cashins et al.","Wildlife Research",2015,"10.1071/WR14183",972,"Cashins et al. 2015 Wildlife Research","WOS","","","",""
"2:199","using the spike protein feature to predict infection risk and monitor the evolutionary dynamic of coronavirus","Qiang et al.","Infect Dis Poverty",2020,"10.1186/s40249-020-00649-8",973,"Qiang et al. 2020 Infect Dis Poverty","PubMed","","","",""
"1:62","utilization of related wild species for tomato improvement","Rick & Chetelat","First International Symposium On Solanacea For Fresh Market",1995,"10.17660/ActaHortic.1995.412.1",974,"Rick & Chetelat 1995 First International Symposium On Solanacea For Fresh Market","WOS","","","",""
"2:296","vaccination of mice with recombinant baculovirus expressing spike or nucleocapsid protein of sars-like coronavirus generates humoral and cellular immune responses","Bai et al.","Mol Immunol",2008,"10.1016/j.molimm.2007.08.010",975,"Bai et al. 2008 Mol Immunol","PubMed","","","",""
"3:356","vaccination of poultry workers: delivery and uptake of seasonal influenza immunization","Vivancos et al.","Zoonoses and Public Health",2011,"10.1111/j.1863-2378.2009.01315.x",976,"Vivancos et al. 2011 Zoonoses and Public Health","CAB","","","",""
"3:325","vector aspects in risk areas for sylvatic yellow fever in the state of mato grosso do sul, brazil","Almeida et al.","Revista de Patologia Tropical",2016,"10.5216/rpt.v45i4.44602",977,"Almeida et al. 2016 Revista de Patologia Tropical","CAB","","","",""
"1:80","vertebrate ultraviolet visual pigments: protonation of the retinylidene schiff base and a counterion switch during photoactivation","Kusnetzow et al.","Proceedings of The National Academy of Sciences of The United States of America",2004,"10.1073/pnas.0305206101",978,"Kusnetzow et al. 2004 Proceedings of The National Academy of Sciences of The United States of America","WOS","","","",""
"3:246","viral antibody dynamics in a captive colony of eidolon helvum","Redman-White et al.","",2017,"",979,"Redman-White et al. 2017 ","CAB","","","",""
"2:429","viral cpg deficiency provides no evidence that dogs were intermediate hosts for sars-cov-2","Pollock et al.","Mol Biol Evol",2020,"10.1093/molbev/msaa178",980,"Pollock et al. 2020 Mol Biol Evol","PubMed","","","",""
"1:282","viral discovery as a tool for pandemic preparedness","Epstein & Anthony","Revue Scientifique Et Technique-office International Des Epizooties",2017,"10.20506/rst.36.2.2669",981,"Epstein & Anthony 2017 Revue Scientifique Et Technique-office International Des Epizooties","WOS","","","",""
"3:237","viral diversity of bat communities in human-dominated landscapes in mexico","Chávez et al.","Veterinaria México OA",2015,"",982,"Chávez et al. 2015 Veterinaria México OA","CAB","","","",""
"2:228","viral diversity of microbats within the south west botanical province of western australia","Prada et al.","Viruses",2019,"10.3390/v11121157",983,"Prada et al. 2019 Viruses","PubMed","","","",""
"3:23","viral gastroenteritis in pigs: current knowledge and challenges","Brnić et al.","Veterinarska Stanica",2020,"",984,"Brnić et al. 2020 Veterinarska Stanica","CAB","","","",""
"3:336","viral hemorrhagic fevers caused by arenaviruses","USA & USA","",2010,"",985,"USA & USA 2010 ","CAB","","","",""
"3:171","viral metacommunities associated to bats and rodents at different spatial scales","Nieto-Rabiela et al.","Community Ecology",2018,"10.1556/168.2018.19.2.9",986,"Nieto-Rabiela et al. 2018 Community Ecology","CAB","","","",""
"3:206","viral metagenomic analyses of bats in xinjiang, china","Zhang Chang et al.","Chinese Journal of Virology",2018,"",987,"Zhang Chang et al. 2018 Chinese Journal of Virology","CAB","","","",""
